"municipio";"cod_ibge";"nome_meso";"nome_micro";"count"
"";"2924306";"Centro Sul Baiano";"Seabra";"1"
"";"2924405";"Vale São-Franciscano da Bahia";"Juazeiro";"1"
"";"2924603";"Centro Norte Baiano";"Senhor do Bonfim";"1"
"";"2926004";"Vale São-Franciscano da Bahia";"Juazeiro";"1"
"";"2926400";"Centro Sul Baiano";"Guanambi";"1"
"";"2927101";"Vale São-Franciscano da Bahia";"Paulo Afonso";"1"
"";"2928109";"Extremo Oeste Baiano";"Santa Maria da Vitória";"1"
"";"2928406";"Extremo Oeste Baiano";"Cotegipe";"1"
"";"2929057";"Extremo Oeste Baiano";"Santa Maria da Vitória";"1"
"";"2930006";"Centro Sul Baiano";"Guanambi";"1"
"";"2930154";"Vale São-Franciscano da Bahia";"Bom Jesus da Lapa";"1"
"";"2930204";"Vale São-Franciscano da Bahia";"Juazeiro";"1"
"";"2930758";"Vale São-Franciscano da Bahia";"Bom Jesus da Lapa";"1"
"";"2930774";"Vale São-Franciscano da Bahia";"Juazeiro";"1"
"";"2931202";"Sul Baiano";"Valença";"1"
"";"2932606";"Centro Sul Baiano";"Guanambi";"1"
"";"2932903";"Sul Baiano";"Valença";"1"
